Log Number,Voltage (V),Current (mA),Power (mW),Energy (J),State
0.0,7.228,381.7,2758.9276,1259.6617058829554,IDLE
0.5,7.231,383.5,2773.0885,1451.1788849982004,IDLE
1.0,7.232,386.6,2795.8912,1387.639388325582,IDLE
1.5,6.994,1526.1,10673.543399999999,1132.9750830304874,DRIVING
2.0,6.838,1424.0,9737.312,1192.4648764921876,DRIVING
2.5,7.021,1223.6,8590.8956,1301.2834206545956,DRIVING
3.0,7.042,812.8,5723.7375999999995,1307.5850260686195,DRIVING
3.5,7.048,836.6,5896.3568000000005,1326.5811699253877,DRIVING
4.0,7.009,1256.0,8803.304,1182.4442076574876,DRIVING
4.5,7.042,825.9,5815.9878,1284.5535546439874,DRIVING
5.0,7.044,825.7,5816.2308,1337.1937770034876,DRIVING
5.5,7.05,811.7,5722.485000000001,1228.8893734867752,DRIVING
6.0,7.036,799.8,5627.3928,1265.8618361695394,DRIVING
6.5,6.7,1359.7,9109.99,1165.5061062291118,DRIVING
7.0,6.785,1400.6,9503.071,1186.4474014349958,DRIVING
7.5,6.811,1283.9,8744.6429,1191.460906950078,DRIVING
8.0,6.951,1578.7,10973.5437,1220.7476857618396,DRIVING
8.5,7.033,878.3,6177.0839,1325.5222346892479,DRIVING
9.0,7.041,1453.6,10234.7976,1156.5883451857756,DRIVING
9.5,7.064,846.6,5980.3824,1248.33433337595,DRIVING
10.0,6.953,1271.0,8837.263,1084.5629909809877,DRIVING
10.5,7.066,806.5,5698.729,1249.3619804477953,DRIVING
11.0,7.054,814.7,5746.893800000001,1252.4474585415182,DRIVING
11.5,6.704,1457.8,9773.091199999999,1150.6621977432796,DRIVING
12.0,6.839,1237.9,8465.9981,1182.4442076574876,DRIVING
12.5,7.042,800.8,5639.2336,1054.13398276598,DRIVING
13.0,7.035,835.0,5874.225,1230.9290235483193,DRIVING
13.5,7.026,823.6,5786.6136,1238.0811173742,DRIVING
14.0,7.041,835.7,5884.163700000001,1249.3619804477953,DRIVING
14.5,7.054,821.6,5795.566400000001,1146.7198890422355,DRIVING
15.0,7.072,830.3,5871.8816,1251.4185430305793,DRIVING
15.5,7.054,822.7,5803.3258000000005,1208.5858917381556,DRIVING
16.0,7.05,817.7,5764.785,1125.1581157133594,DRIVING
16.5,7.061,800.6,5653.0366,1238.0811173742,DRIVING
17.0,6.744,1420.4,9579.1776,1157.5775162717998,DRIVING
17.5,6.85,1243.5,8517.975,1168.4863038781157,DRIVING
18.0,6.806,818.3,5569.3498,1176.4521013821554,DRIVING
18.5,6.757,1454.4,9827.3808,1083.6055308722875,DRIVING
19.0,7.048,840.6,5924.5488000000005,1194.474084015499,DRIVING
19.5,7.066,821.1,5801.8926,1182.4442076574876,DRIVING
20.0,7.071,843.7,5965.8027,1183.444371882318,DRIVING
20.5,7.08,811.6,5746.128000000001,1221.763916881848,DRIVING
21.0,7.053,800.9,5648.7477,1207.5751571875498,DRIVING
21.5,6.869,1274.3,8753.1667,1157.5775162717998,DRIVING
22.0,6.831,1301.4,8889.863400000002,1101.8695739658795,DRIVING
22.5,6.668,1268.5,8458.358,1170.4752163759397,DRIVING
23.0,7.073,791.1,5595.4503,1182.4442076574876,DRIVING
23.5,7.011,1203.7,8439.1407,1079.7799185677995,DRIVING
24.0,6.907,1154.9,7976.894300000001,1072.1489889843115,DRIVING
24.5,7.184,570.5,4098.472,1135.9134221894221,DRIVING
25.0,7.189,590.3,4243.6667,1084.5629909809877,DRIVING
25.5,7.179,599.8,4305.964199999999,1132.9750830304874,DRIVING
26.0,7.179,604.2,4337.5518,1097.048448379902,DRIVING
26.5,7.179,591.5,4246.3785,1197.4910663982,DRIVING
27.0,7.061,867.7,6126.8297,1155.5995969127823,DRIVING
27.5,6.768,1128.7,7639.0416000000005,1059.8064423898752,DRIVING
28.0,6.729,1481.4,9968.340600000001,940.3110235686556,DRIVING
28.5,6.795,1306.3,8876.3085,1083.6055308722875,DRIVING
29.0,7.085,1156.9,8196.6365,1013.92678898955,DRIVING
29.5,7.075,1398.1,9891.557499999999,950.1454432632001,DRIVING
30.0,6.778,1234.5,8367.440999999999,1097.048448379902,DRIVING
30.5,6.841,1355.6,9273.659599999999,1084.5629909809877,DRIVING
31.0,6.837,823.8,5632.320599999999,1037.2079315089873,DRIVING
31.5,6.846,1394.3,9545.3778,1170.4752163759397,DRIVING
32.0,7.076,771.1,5456.3036,1027.8637635238874,DRIVING
32.5,6.663,1453.0,9681.339,1044.7137084352992,DRIVING
33.0,6.851,1204.4,8251.3444,1121.2597795675395,DRIVING
33.5,7.172,593.0,4252.996,1065.4941232828878,DRIVING
34.0,7.183,980.0,7039.34,1012.0757135398323,DRIVING
34.5,7.18,583.7,4190.966,1147.7048319979501,DRIVING
35.0,7.18,599.2,4302.256,1037.2079315089873,DRIVING
35.5,7.175,593.3,4256.9275,1101.8695739658795,DRIVING
36.0,7.172,599.6,4300.3312,1125.1581157133594,DRIVING
36.5,7.172,599.5,4299.614,1026.9316721970483,DRIVING
37.0,7.182,600.7,4314.227400000001,1046.5943807971876,DRIVING
37.5,7.184,599.4,4306.0896,1046.5943807971876,DRIVING
38.0,7.18,600.5,4311.59,1039.0818388623798,DRIVING
38.5,7.178,593.0,4256.554,978.1358773219155,DRIVING
39.0,7.184,598.7,4301.0608,1089.35663371995,DRIVING
39.5,7.176,602.8,4325.6928,1024.1379350947157,DRIVING
40.0,7.176,599.2,4299.859200000001,1157.5775162717998,DRIVING
40.5,7.18,595.8,4277.843999999999,1084.5629909809877,DRIVING
41.0,7.187,593.4,4264.7658,1102.8350675221677,DRIVING
41.5,7.184,604.2,4340.572800000001,1136.8937142017955,DRIVING
42.0,7.045,882.0,6213.69,931.4150373964158,DRIVING
42.5,7.087,1470.3,10420.016099999999,864.3321561175019,DRIVING
43.0,7.117,813.6,5790.3912,1015.7795556913923,DRIVING
43.5,7.083,1273.4,9019.4922,943.8812568024197,DRIVING
44.0,7.094,828.4,5876.6696,819.6148157393956,DRIVING
44.5,7.166,824.6,5909.083600000001,1001.9250296980997,DRIVING
45.0,7.087,841.0,5960.1669999999995,968.1572783838001,DRIVING
45.5,6.812,1355.6,9234.3472,851.5558033532595,DRIVING
46.0,6.822,1324.7,9037.1034,977.2266178987499,DRIVING
46.5,7.099,792.6,5626.6674,1060.7533321728,DRIVING
47.0,7.071,822.4,5815.1903999999995,1024.1379350947157,DRIVING
47.5,6.884,1273.6,8767.4624,867.7552504164778,DRIVING
48.0,6.894,1214.2,8370.694800000001,912.8710920763018,DRIVING
48.5,6.821,1258.7,8585.5927,978.1358773219155,DRIVING
49.0,7.082,1506.0,10665.492,941.2029476575499,DRIVING
49.5,7.106,1023.8,7275.122799999999,967.2526699039753,DRIVING
50.0,7.103,780.0,5540.34,901.4849485579874,DRIVING
50.5,7.071,825.1,5834.2821,1024.1379350947157,DRIVING
51.0,7.092,812.6,5762.9592,922.5613325272755,DRIVING
51.5,7.078,810.0,5733.18,959.13022017195,DRIVING
52.0,6.85,1331.7,9122.145,923.4448003555498,DRIVING
52.5,6.903,1280.4,8838.601200000001,838.874583520992,DRIVING
53.0,6.676,1560.5,10417.898000000001,898.8675244895819,DRIVING
53.5,7.073,851.4,6021.952200000001,875.4819471514876,DRIVING
54.0,7.092,864.1,6128.1972,949.2492910439956,DRIVING
54.5,7.092,1310.3,9292.647599999998,795.6495617358001,DRIVING
55.0,7.105,768.9,5463.0345,866.0428576409281,DRIVING
55.5,7.104,776.3,5514.8351999999995,930.5277642508618,DRIVING
56.0,6.93,792.3,5490.638999999999,952.8364367989996,DRIVING
56.5,7.086,815.5,5778.633,884.9721970387978,DRIVING
57.0,7.196,573.6,4127.6256,878.9270277280756,DRIVING
57.5,6.88,1295.9,8915.792000000001,763.9810771204155,DRIVING
58.0,6.809,1360.8,9265.6872,860.9158268270219,DRIVING
58.5,7.183,597.3,4290.4059,967.2526699039753,DRIVING
59.0,6.765,1329.3,8992.7145,956.4303475624993,DRIVING
59.5,7.197,581.2,4182.8964000000005,930.5277642508618,DRIVING
60.0,7.195,598.2,4304.049000000001,927.8684816923877,DRIVING
60.5,7.191,596.7,4290.8697,892.7750001193876,DRIVING
61.0,7.195,590.6,4249.367,902.3582688735178,DRIVING
61.5,7.194,597.8,4300.5732,859.2101990599681,DRIVING
62.0,7.19,594.9,4277.331,836.3497555063757,DRIVING
62.5,7.191,593.2,4265.7012,857.5062625450379,DRIVING
63.0,7.189,589.8,4240.0722,935.8577453196481,DRIVING
63.5,7.206,595.9,4294.0554,914.6291486592,DRIVING
64.0,7.089,855.3,6063.2217,894.5136073028594,DRIVING
64.5,7.096,805.7,5717.247200000001,874.6217340399179,DRIVING
65.0,6.888,1384.3,9535.0584,718.0737294665595,DRIVING
65.5,6.912,1240.2,8572.2624,737.6869689420721,DRIVING
66.0,6.772,899.5,6091.414000000001,772.0398934912755,DRIVING
66.5,7.106,823.6,5852.5016000000005,897.9958954261755,DRIVING
67.0,7.086,841.6,5963.5776000000005,787.46812958595,DRIVING
67.5,7.126,814.6,5804.8396,780.953426404302,DRIVING
68.0,7.082,1240.1,8782.3882,832.9892375359877,DRIVING
68.5,7.085,1313.4,9305.439,684.9571102200001,DRIVING
69.0,7.101,834.2,5923.6542,697.9562854515794,DRIVING
69.5,6.898,1302.5,8984.645,795.6495617358001,DRIVING
70.0,6.921,1213.2,8396.557200000001,822.114274972152,DRIVING
